"File:[ E:\LPS Ingenieria Estructural\LPS Ingenieria Estructural - Ferroscan\Projects\PRJ_POR ESQUINA\2830.fscan ]"
     #;        X;Cover;         Ø;Overlay;RealDiam;Quality;   Type;Trace
      ;        m;   mm;        mm;     mm;      mm;      %
     1;    0.147;   38;     12 mm;      0;      12;     47;  Rebar;    1
     2;    0.292;   47;     12 mm;      0;      12;     80;  Rebar;    1
     3;    0.453;   42;     12 mm;      0;      12;     50;  Rebar;    1
     4;    0.621;   40;     16 mm;      0;      16;     12;  Rebar;    1
     5;    0.748;   41;     12 mm;      0;      12;      0;  Rebar;    1
     6;    0.815;   20;     12 mm;      0;      12;      0;  Rebar;    1
     7;    0.945;   42;     16 mm;      0;      16;      0;  Rebar;    1
     8;    1.106;   36;     14 mm;      0;      14;     25;  Rebar;    1
     9;    1.240;   34;     12 mm;      0;      12;     40;  Rebar;    1
    10;    1.401;   34;     16 mm;      0;      16;     32;  Rebar;    1
    11;    1.561;   28;     16 mm;      0;      16;     74;  Rebar;    1
    12;    1.735;   29;     14 mm;      0;      14;     27;  Rebar;    1
    13;    1.896;   27;     14 mm;      0;      14;     50;  Rebar;    1
    14;    0.147;   37;     12 mm;      0;      12;     49;  Rebar;    2
    15;    0.294;   42;     12 mm;      0;      12;     93;  Rebar;    2
    16;    0.457;   38;     12 mm;      0;      12;     94;  Rebar;    2
    17;    0.621;   36;     16 mm;      0;      16;     59;  Rebar;    2
    18;    0.749;   45;     12 mm;      0;      12;      0;  Rebar;    2
    19;    0.812;   23;     12 mm;      0;      12;      0;  Rebar;    2
    20;    0.942;   38;     16 mm;      0;      16;      0;  Rebar;    2
    21;    1.106;   34;     14 mm;      0;      14;     61;  Rebar;    2
    22;    1.237;   32;     12 mm;      0;      12;     51;  Rebar;    2
    23;    1.401;   32;     16 mm;      0;      16;     37;  Rebar;    2
    24;    1.561;   28;     16 mm;      0;      16;     81;  Rebar;    2
    25;    1.732;   28;     14 mm;      0;      14;     32;  Rebar;    2
    26;    1.894;   27;     14 mm;      0;      14;     50;  Rebar;    2
    27;    0.148;   35;     12 mm;      0;      12;     50;  Rebar;    3
    28;    0.294;   38;     12 mm;      0;      12;     96;  Rebar;    3
    29;    0.458;   36;     12 mm;      0;      12;     95;  Rebar;    3
    30;    0.622;   33;     16 mm;      0;      16;     84;  Rebar;    3
    31;    0.745;   49;     12 mm;      0;      12;      0;  Rebar;    3
    32;    0.806;   23;     12 mm;      0;      12;      0;  Rebar;    3
    33;    0.941;   34;     16 mm;      0;      16;      0;  Rebar;    3
    34;    1.105;   33;     14 mm;      0;      14;     33;  Rebar;    3
    35;    1.235;   31;     12 mm;      0;      12;     28;  Rebar;    3
    36;    1.401;   30;     16 mm;      0;      16;     31;  Rebar;    3
    37;    1.561;   29;     16 mm;      0;      16;     68;  Rebar;    3
    38;    1.729;   28;     14 mm;      0;      14;     47;  Rebar;    3
    39;    1.893;   28;     14 mm;      0;      14;     50;  Rebar;    3
    40;    0.148;   35;     12 mm;      0;      12;     25;  Rebar;    4
    41;    0.294;   39;     12 mm;      0;      12;    100;  Rebar;    4
    42;    0.458;   38;     12 mm;      0;      12;     98;  Rebar;    4
    43;    0.622;   35;     16 mm;      0;      16;     62;  Rebar;    4
    44;    0.760;   49;     12 mm;      0;      12;      0;  Rebar;    4
    45;    0.801;   23;     12 mm;      0;      12;      0;  Rebar;    4
    46;    0.939;   36;     16 mm;      0;      16;      0;  Rebar;    4
    47;    1.104;   35;     14 mm;      0;      14;     17;  Rebar;    4
    48;    1.237;   33;     12 mm;      0;      12;     17;  Rebar;    4
    49;    1.403;   32;     16 mm;      0;      16;     15;  Rebar;    4
    50;    1.561;   31;     16 mm;      0;      16;     31;  Rebar;    4
    51;    1.729;   30;     14 mm;      0;      14;     59;  Rebar;    4
    52;    1.893;   28;     14 mm;      0;      14;     50;  Rebar;    4
    53;    0.005;   37;     12 mm;      0;      12;      3;  Rebar;    5
    54;    0.147;   36;     12 mm;      0;      12;     50;  Rebar;    5
    55;    0.292;   41;     12 mm;      0;      12;     98;  Rebar;    5
    56;    0.457;   42;     12 mm;      0;      12;     50;  Rebar;    5
    57;    0.621;   38;     16 mm;      0;      16;      3;  Rebar;    5
    58;    0.768;   41;     12 mm;      0;      12;      0;  Rebar;    5
    59;    0.797;   23;     12 mm;      0;      12;      0;  Rebar;    5
    60;    0.938;   39;     16 mm;      0;      16;      0;  Rebar;    5
    61;    1.104;   37;     14 mm;      0;      14;      9;  Rebar;    5
    62;    1.241;   33;     12 mm;      0;      12;     11;  Rebar;    5
    63;    1.406;   34;     16 mm;      0;      16;      3;  Rebar;    5
    64;    1.562;   33;     16 mm;      0;      16;     32;  Rebar;    5
    65;    1.730;   31;     14 mm;      0;      14;     50;  Rebar;    5
    66;    1.892;   29;     14 mm;      0;      14;     50;  Rebar;    5
